dateTime,temperature,violetPre,bluePre,greenPre,yellowPre,orangePre,redPre,violetCalibrated,blueCalibrated,greenCalibrated,yellowCalibrated,orangeCalibrated,redCalibrated
2020-08-22 00:00:00.858008,42,720,954,975,1007,824,878,849.08,1182.29,1039.08,960.12,793.52,790.69
2020-08-22 00:00:10.843116,43,720,955,978,1008,825,882,849.08,1183.53,1042.28,961.07,794.48,794.30
2020-08-22 00:00:20.828025,42,720,955,978,1011,827,884,849.08,1183.53,1042.28,963.93,796.41,796.10
2020-08-22 00:00:30.813205,42,718,954,978,1009,827,886,846.72,1182.29,1042.28,962.03,796.41,797.90
2020-08-22 00:00:40.798346,42,717,953,977,1009,826,884,845.54,1181.05,1041.21,962.03,795.45,796.10
2020-08-22 00:00:50.783118,42,715,950,974,1005,823,880,843.18,1177.33,1038.02,958.21,792.56,792.49
2020-08-22 00:01:00.752819,43,713,947,970,1000,819,874,840.82,1173.62,1033.75,953.45,788.70,787.09
2020-08-22 00:01:10.737824,43,710,944,966,997,815,870,837.28,1169.90,1029.49,950.59,784.85,783.49
2020-08-22 00:01:20.722724,43,707,941,963,992,812,867,833.75,1166.18,1026.29,945.82,781.96,780.79
2020-08-22 00:01:30.707733,42,707,943,968,999,818,877,833.75,1168.66,1031.62,952.49,787.74,789.79
2020-08-22 00:01:40.677481,42,707,945,972,1004,823,885,833.75,1171.14,1035.88,957.26,792.56,797.00
2020-08-22 00:01:50.662452,42,706,944,971,1004,824,886,832.57,1169.90,1034.82,957.26,793.52,797.90
2020-08-22 00:02:00.647438,42,704,939,966,998,818,879,830.21,1163.70,1029.49,951.54,787.74,791.59
2020-08-22 00:02:10.632319,42,699,931,955,985,806,863,824.31,1153.79,1017.77,939.15,776.18,777.18
2020-08-22 00:02:20.601909,42,695,924,946,975,797,851,819.59,1145.11,1008.18,929.61,767.52,766.38
2020-08-22 00:02:30.587116,42,693,923,945,974,797,853,817.24,1143.87,1007.11,928.66,767.52,768.18
2020-08-22 00:02:40.571893,42,693,926,951,983,806,867,817.24,1147.59,1013.50,937.24,776.18,780.79
2020-08-22 00:02:50.557002,42,690,919,942,972,796,852,813.70,1138.92,1003.91,926.75,766.55,767.28
2020-08-22 00:03:00.541977,42,681,904,921,944,772,815,803.08,1120.33,981.53,900.05,743.44,733.96
2020-08-22 00:03:10.527070,42,680,900,915,939,767,808,801.90,1115.37,975.14,895.29,738.63,727.65
2020-08-22 00:03:20.512056,42,680,903,920,944,771,817,801.90,1119.09,980.47,900.05,742.48,735.76
2020-08-22 00:03:30.481918,42,680,903,921,946,774,821,801.90,1119.09,981.53,901.96,745.37,739.36
2020-08-22 00:03:40.466990,42,682,910,933,961,787,842,804.26,1127.76,994.32,916.26,757.89,758.27
2020-08-22 00:03:50.452041,42,685,916,943,973,800,859,807.80,1135.20,1004.98,927.70,770.41,773.58
2020-08-22 00:04:00.437059,42,686,919,947,978,804,867,808.98,1138.92,1009.24,932.47,774.26,780.79
2020-08-22 00:04:10.421960,42,687,922,953,986,812,879,810.16,1142.63,1015.64,940.10,781.96,791.59
2020-08-22 00:04:20.391777,42,687,926,960,996,819,890,810.16,1147.59,1023.10,949.63,788.70,801.50
2020-08-22 00:04:30.376646,42,690,930,965,1003,826,901,813.70,1152.55,1028.42,956.31,795.45,811.41
2020-08-22 00:04:40.361945,42,690,931,968,1005,829,905,813.70,1153.79,1031.62,958.21,798.33,815.01
2020-08-22 00:04:50.347029,42,689,932,969,1009,832,908,812.52,1155.03,1032.69,962.03,801.22,817.71
2020-08-22 00:05:00.331997,42,690,933,971,1009,833,909,813.70,1156.27,1034.82,962.03,802.19,818.61
2020-08-22 00:05:10.317080,42,689,932,969,1008,832,908,812.52,1155.03,1032.69,961.07,801.22,817.71
2020-08-22 00:05:20.302236,42,688,929,965,1003,826,899,811.34,1151.31,1028.42,956.31,795.45,809.60
2020-08-22 00:05:30.287420,42,685,924,957,990,816,884,807.80,1145.11,1019.90,943.91,785.82,796.10
2020-08-22 00:05:40.272181,42,680,915,943,976,801,861,801.90,1133.96,1004.98,930.56,771.37,775.38
2020-08-22 00:05:50.257488,42,678,912,939,968,796,855,799.55,1130.24,1000.72,922.94,766.55,769.98
2020-08-22 00:06:00.242590,42,677,911,938,968,795,854,798.37,1129.00,999.65,922.94,765.59,769.08
2020-08-22 00:06:10.212328,42,676,911,938,968,794,855,797.19,1129.00,999.65,922.94,764.63,769.98
2020-08-22 00:06:20.197326,42,676,910,938,967,794,854,797.19,1127.76,999.65,921.98,764.63,769.08
2020-08-22 00:06:30.182159,42,674,908,935,964,791,850,794.83,1125.28,996.45,919.12,761.74,765.48
2020-08-22 00:06:40.151866,42,673,906,933,962,790,848,793.65,1122.80,994.32,917.22,760.78,763.68
2020-08-22 00:06:50.136850,42,670,903,927,955,783,840,790.11,1119.09,987.93,910.54,754.04,756.47
2020-08-22 00:07:00.122061,42,668,899,922,950,778,835,787.75,1114.13,982.60,905.77,749.22,751.97
2020-08-22 00:07:10.106798,42,666,898,922,950,779,835,785.40,1112.89,982.60,905.77,750.18,751.97
2020-08-22 00:07:20.091889,42,667,900,927,957,786,847,786.57,1115.37,987.93,912.45,756.92,762.78
2020-08-22 00:07:30.061307,42,666,902,931,964,790,856,785.40,1117.85,992.19,919.12,760.78,770.88
2020-08-22 00:07:40.046458,42,665,846,927,958,787,850,784.22,1048.45,987.93,913.40,757.89,765.48
2020-08-22 00:07:50.031627,42,663,896,921,952,780,841,781.86,1110.41,981.53,907.68,751.15,757.37
2020-08-22 00:08:00.016675,42,659,891,915,944,772,829,777.14,1104.22,975.14,900.05,743.44,746.57
2020-08-22 00:08:09.986161,42,659,888,911,939,768,824,777.14,1100.50,970.88,895.29,739.59,742.06
2020-08-22 00:08:19.971101,42,657,887,910,938,768,825,774.78,1099.26,969.81,894.33,739.59,742.96
2020-08-22 00:08:29.955964,42,655,886,908,937,766,824,772.42,1098.02,967.68,893.38,737.66,742.06
2020-08-22 00:08:39.941019,42,655,885,907,935,765,823,772.42,1096.78,966.61,891.47,736.70,741.16
2020-08-22 00:08:49.926051,42,653,884,906,935,765,824,770.06,1095.54,965.55,891.47,736.70,742.06
2020-08-22 00:08:59.895833,42,653,883,906,934,765,826,770.06,1094.30,965.55,890.52,736.70,743.86
2020-08-22 00:09:09.880702,42,650,883,906,935,766,826,766.53,1094.30,965.55,891.47,737.66,743.86
2020-08-22 00:09:19.865675,42,651,883,906,938,766,829,767.71,1094.30,965.55,894.33,737.66,746.57
2020-08-22 00:09:29.835135,42,650,883,906,938,767,831,766.53,1094.30,965.55,894.33,738.63,748.37
2020-08-22 00:09:39.820115,42,650,884,906,939,769,834,766.53,1095.54,965.55,895.29,740.55,751.07
2020-08-22 00:09:49.789604,42,649,863,907,939,769,838,765.35,1069.51,966.61,895.29,740.55,754.67
2020-08-22 00:09:59.774680,42,649,883,908,941,772,840,765.35,1094.30,967.68,897.19,743.44,756.47
2020-08-22 00:10:09.759477,42,648,884,909,942,773,843,764.17,1095.54,968.74,898.15,744.41,759.17
2020-08-22 00:10:19.729073,42,648,884,910,944,776,846,764.17,1095.54,969.81,900.05,747.29,761.88
2020-08-22 00:10:29.714173,42,647,884,910,945,776,849,762.99,1095.54,969.81,901.01,747.29,764.58
2020-08-22 00:10:39.699189,42,647,885,911,946,779,852,762.99,1096.78,970.88,901.96,750.18,767.28
2020-08-22 00:10:49.684378,42,647,885,912,948,780,855,762.99,1096.78,971.94,903.87,751.15,769.98
