dateTime,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh  
2020-08-22 09:03:38.294447,0.03,0.00,4.76,7.89,22961.39,9178.73,851.54,0.83
2020-08-22 09:03:48.336839,0.03,0.00,4.80,8.87,27401.58,10665.30,883.34,0.84
2020-08-22 09:03:58.363782,0.03,0.00,4.73,7.89,22961.39,9178.73,836.16,0.82
2020-08-22 09:04:08.390387,0.03,0.00,4.55,6.54,17313.48,7222.25,724.70,0.77
2020-08-22 09:04:18.432729,0.03,0.00,4.62,6.23,16059.67,6775.67,764.22,0.79
2020-08-22 09:04:28.459761,0.03,0.00,4.66,7.67,22009.87,8854.74,792.05,0.80
2020-08-22 09:04:38.502219,0.03,0.00,4.76,9.15,28697.41,11092.05,851.54,0.83
2020-08-22 09:04:48.529105,0.03,0.00,4.64,8.12,23971.39,9520.42,777.98,0.80
2020-08-22 09:04:58.571602,0.03,0.00,4.49,6.54,17313.48,7222.25,687.66,0.76
2020-08-22 09:05:08.598677,0.03,0.00,4.64,7.89,22961.39,9178.73,777.98,0.80
2020-08-22 09:05:18.625670,0.03,0.00,4.73,9.15,28697.41,11092.05,836.16,0.82
2020-08-22 09:05:28.668023,0.03,0.00,4.62,7.89,22961.39,9178.73,764.22,0.79
2020-08-22 09:05:38.695106,0.03,0.00,4.45,6.38,16670.12,6993.73,664.26,0.75
2020-08-22 09:05:48.737581,0.03,0.00,4.55,7.67,22009.87,8854.74,724.70,0.77
2020-08-22 09:05:58.764544,0.03,0.00,4.69,9.15,28697.41,11092.05,806.43,0.81
2020-08-22 09:06:08.806417,0.03,0.00,4.53,7.67,22009.87,8854.74,712.09,0.77
2020-08-22 09:06:18.849347,0.04,0.00,305.63,5.06,11743.65,5194.37,4178458900.00,475.78
2020-08-22 09:06:28.876328,0.03,0.00,4.55,7.67,22009.87,8854.74,724.70,0.77
2020-08-22 09:06:38.918666,0.03,0.00,4.69,9.15,28697.41,11092.05,806.43,0.81
2020-08-22 09:06:48.945705,0.03,0.00,4.57,7.89,22961.39,9178.73,737.59,0.78
2020-08-22 09:06:58.972669,0.03,0.00,4.39,6.38,16670.12,6993.73,630.96,0.73
2020-08-22 09:07:09.015086,0.03,0.00,4.51,7.89,22961.39,9178.73,699.74,0.76
2020-08-22 09:07:19.042084,0.03,0.00,4.60,9.15,28697.41,11092.05,750.76,0.78
2020-08-22 09:07:29.084477,0.03,0.00,4.60,9.15,28697.41,11092.05,750.76,0.78
2020-08-22 09:07:39.127323,0.04,0.00,305.63,5.66,13906.80,5996.20,4178458900.00,475.78
2020-08-22 09:07:49.154380,0.03,0.00,4.47,7.67,22009.87,8854.74,675.83,0.75
2020-08-22 09:07:59.181265,0.03,0.00,4.49,8.12,23971.39,9520.42,687.66,0.76
2020-08-22 09:08:09.239033,0.03,0.00,591.49,5.93,14929.16,6368.47,48104387000.00,1303.76
2020-08-22 09:08:19.281733,0.04,0.00,305.63,5.79,14405.32,6178.22,4178458900.00,475.78
2020-08-22 09:08:29.308771,0.03,0.00,4.47,7.89,22961.39,9178.73,675.83,0.75
2020-08-22 09:08:39.335734,0.03,0.00,4.55,9.15,28697.41,11092.05,724.70,0.77
2020-08-22 09:08:49.378224,0.03,0.00,4.49,8.87,27401.58,10665.30,687.66,0.76
2020-08-22 09:08:59.421034,0.04,0.00,227.22,6.08,15480.00,6567.43,1395030700.00,302.58
2020-08-22 09:09:09.463514,0.03,0.00,4.41,8.12,23971.39,9520.42,641.82,0.74
2020-08-22 09:09:19.490478,0.03,0.00,4.43,8.12,23971.39,9520.42,652.92,0.74
2020-08-22 09:09:29.517500,0.03,0.00,4.47,8.87,27401.58,10665.30,675.83,0.75
2020-08-22 09:09:39.575836,0.03,0.00,305.63,6.38,16670.12,6993.73,4178458900.00,475.78
2020-08-22 09:09:49.603000,0.03,0.00,4.49,9.15,28697.41,11092.05,687.66,0.76
2020-08-22 09:09:59.645355,0.03,0.00,4.47,9.15,28697.41,11092.05,675.83,0.75
2020-08-22 09:10:09.687768,0.03,0.00,366.58,6.71,17992.07,7461.91,8189954000.00,628.03
2020-08-22 09:10:19.730531,0.03,0.00,366.58,6.38,16670.12,6993.73,8189954000.00,628.03
2020-08-22 09:10:29.757530,0.03,0.00,4.43,8.61,26186.04,10262.22,652.92,0.74
2020-08-22 09:10:39.815906,0.03,0.00,1340.80,7.89,22961.39,9178.73,994104970000.00,4547.96
2020-08-22 09:10:49.858776,0.03,0.00,591.49,7.89,22961.39,9178.73,48104387000.00,1303.76
2020-08-22 09:10:59.901716,0.03,0.00,200.67,7.07,19465.23,7977.56,880768830.00,250.29
2020-08-22 09:11:09.944756,0.03,0.00,830.65,8.36,25044.55,9881.11,169009090000.00,2189.49
2020-08-22 09:11:19.971667,0.03,0.00,4.41,9.15,28697.41,11092.05,641.82,0.74
2020-08-22 09:11:30.029919,0.03,0.00,366.58,7.67,22009.87,8854.74,8189954000.00,628.03
2020-08-22 09:11:40.072776,0.03,0.00,179.33,7.26,20265.53,8255.20,581029120.00,210.82
