dateTime,luminosity,ir,full,visible,lux
2020-08-22 00:00:04.266386,1534263295,23410,65535,42125,-1.000000
2020-08-22 00:00:14.251653,1549139967,23637,65535,41898,-1.000000
2020-08-22 00:00:24.236514,1560150015,23805,65535,41730,-1.000000
2020-08-22 00:00:34.221615,1570439167,23962,65535,41573,-1.000000
2020-08-22 00:00:44.206667,1577910271,24076,65535,41459,-1.000000
2020-08-22 00:00:54.191660,1582694399,24149,65535,41386,-1.000000
2020-08-22 00:01:04.161136,1584398335,24175,65535,41360,-1.000000
2020-08-22 00:01:14.146169,1587740671,24226,65535,41309,-1.000000
2020-08-22 00:01:24.131135,1597243391,24371,65535,41164,-1.000000
2020-08-22 00:01:34.116235,1621819391,24746,65535,40789,-1.000000
2020-08-22 00:01:44.085894,1637154815,24980,65535,40555,-1.000000
2020-08-22 00:01:54.070831,1642463231,25061,65535,40474,-1.000000
2020-08-22 00:02:04.055729,1630732287,24882,65535,40653,-1.000000
2020-08-22 00:02:14.040818,1611661311,24591,65535,40944,-1.000000
2020-08-22 00:02:24.010373,1604976639,24489,65535,41046,-1.000000
2020-08-22 00:02:33.995548,1620377599,24724,65535,40811,-1.000000
2020-08-22 00:02:43.980249,1639645183,25018,65535,40517,-1.000000
2020-08-22 00:02:53.965412,1606942719,24519,65535,41016,-1.000000
2020-08-22 00:03:03.950338,1575485439,24039,65535,41496,-1.000000
2020-08-22 00:03:13.935573,1592393727,24297,65535,41238,-1.000000
2020-08-22 00:03:23.920452,1602093055,24445,65535,41090,-1.000000
2020-08-22 00:03:33.890383,1625292799,24799,65535,40736,-1.000000
2020-08-22 00:03:43.875515,1660420095,25335,65535,40200,-1.000000
2020-08-22 00:03:53.860372,1683488767,25687,65535,39848,-1.000000
2020-08-22 00:04:03.845522,1706426367,26037,65535,39498,-1.000000
2020-08-22 00:04:13.830403,1730805759,26409,65535,39126,-1.000000
2020-08-22 00:04:23.800029,1754267647,26767,65535,38768,-1.000000
2020-08-22 00:04:33.785094,1773404159,27059,65535,38476,-1.000000
2020-08-22 00:04:43.770297,1787756543,27278,65535,38257,-1.000000
2020-08-22 00:04:53.755430,1799618559,27459,65535,38076,-1.000000
2020-08-22 00:05:03.740349,1811021823,27633,65535,37902,-1.000000
2020-08-22 00:05:13.725600,1813708799,27674,65535,37861,-1.000000
2020-08-22 00:05:23.710681,1811742719,27644,65535,37891,-1.000000
2020-08-22 00:05:33.695723,1795096575,27390,65535,38145,-1.000000
2020-08-22 00:05:43.680684,1780809727,27172,65535,38363,-1.000000
2020-08-22 00:05:53.665872,1787559935,27275,65535,38260,-1.000000
2020-08-22 00:06:03.650928,1795162111,27391,65535,38144,-1.000000
2020-08-22 00:06:13.620692,1803550719,27519,65535,38016,-1.000000
2020-08-22 00:06:23.605641,1809383423,27608,65535,37927,-1.000000
2020-08-22 00:06:33.590684,1813905407,27677,65535,37858,-1.000000
2020-08-22 00:06:43.575554,1819017215,27755,65535,37780,-1.000000
