dateTime,rawUVA,rawUVB,visibleCompensation,irCompensation,uva,uvb,index
2020-08-22 00:00:07.338494,1769,2209,597,197,181.65,103.10,0.04
2020-08-22 00:00:17.323609,1774,2215,599,199,179.55,99.70,0.04
2020-08-22 00:00:27.308583,1779,2221,600,199,182.33,102.75,0.04
2020-08-22 00:00:37.293765,1781,2224,601,200,180.78,101.05,0.04
2020-08-22 00:00:47.278742,1782,2225,601,200,181.78,102.05,0.04
2020-08-22 00:00:57.248357,1779,2222,600,199,182.33,103.75,0.05
2020-08-22 00:01:07.233200,1775,2216,598,198,184.10,105.40,0.05
2020-08-22 00:01:17.218253,1772,2213,597,198,183.32,105.35,0.05
2020-08-22 00:01:27.187857,1776,2217,598,199,183.77,104.65,0.05
2020-08-22 00:01:37.172971,1786,2229,600,203,184.01,103.75,0.05
2020-08-22 00:01:47.157913,1788,2231,600,204,184.68,104.00,0.05
2020-08-22 00:01:57.142848,1785,2228,600,204,181.68,101.00,0.04
2020-08-22 00:02:07.127854,1772,2211,595,200,185.10,105.75,0.05
2020-08-22 00:02:17.097596,1754,2189,590,196,183.52,105.50,0.05
2020-08-22 00:02:27.082397,1748,2182,588,196,181.96,104.40,0.05
2020-08-22 00:02:37.067573,1754,2190,589,199,181.75,104.20,0.05
2020-08-22 00:02:47.052427,1757,2193,590,201,179.87,100.75,0.04
2020-08-22 00:02:57.037387,1728,2157,582,192,180.60,104.10,0.04
2020-08-22 00:03:07.007021,1703,2126,575,185,180.45,106.00,0.05
2020-08-22 00:03:16.992289,1709,2133,576,187,181.57,106.55,0.05
2020-08-22 00:03:26.977288,1711,2135,576,188,182.24,106.80,0.05
2020-08-22 00:03:36.962397,1724,2151,579,193,181.93,105.20,0.05
2020-08-22 00:03:46.947577,1747,2179,585,201,180.97,101.50,0.04
2020-08-22 00:03:56.932583,1760,2196,588,205,181.99,102.65,0.04
2020-08-22 00:04:06.917558,1772,2210,591,209,182.01,100.80,0.04
2020-08-22 00:04:16.887159,1787,2229,595,213,182.81,101.00,0.04
2020-08-22 00:04:26.872050,1802,2250,599,218,182.28,101.45,0.04
2020-08-22 00:04:36.857169,1813,2263,602,220,183.96,102.10,0.05
2020-08-22 00:04:46.842358,1822,2274,604,223,184.53,101.95,0.05
2020-08-22 00:04:56.827476,1830,2282,606,225,185.43,100.55,0.04
2020-08-22 00:05:06.812431,1837,2290,608,226,186.66,100.90,0.05
2020-08-22 00:05:16.797616,1837,2290,609,226,184.44,97.95,0.04
2020-08-22 00:05:26.782729,1833,2285,608,224,185.32,99.40,0.04
2020-08-22 00:05:36.767850,1817,2265,604,219,184.85,99.95,0.04
2020-08-22 00:05:46.737540,1809,2256,602,216,185.28,102.10,0.05
2020-08-22 00:05:56.722598,1810,2257,602,216,186.28,103.10,0.05
2020-08-22 00:06:06.707758,1814,2261,603,217,186.73,102.40,0.05
2020-08-22 00:06:16.692734,1817,2266,603,218,188.40,105.65,0.05
2020-08-22 00:06:26.677828,1819,2268,604,219,186.85,102.95,0.05
2020-08-22 00:06:36.647452,1821,2271,604,220,187.52,104.20,0.05
2020-08-22 00:06:46.632378,1822,2273,604,220,188.52,106.20,0.05
2020-08-22 00:06:56.617408,1819,2269,604,219,186.85,103.95,0.05
2020-08-22 00:07:06.602472,1826,2277,605,222,187.64,103.75,0.05
2020-08-22 00:07:16.572017,1839,2294,608,227,187.33,100.20,0.05
2020-08-22 00:07:26.556939,1859,2319,613,233,188.25,102.90,0.05
2020-08-22 00:07:36.541860,1871,2334,616,237,188.27,102.05,0.05
2020-08-22 00:07:46.526982,1873,2335,617,237,188.05,100.10,0.05
2020-08-22 00:07:56.512122,1872,2334,616,236,190.60,103.80,0.05
2020-08-22 00:08:06.481812,1873,2335,617,235,190.71,103.60,0.05
2020-08-22 00:08:16.466683,1881,2346,619,238,190.28,103.45,0.05
2020-08-22 00:08:26.451615,1890,2358,621,241,190.85,104.30,0.05
2020-08-22 00:08:36.421153,1901,2372,624,245,189.87,102.45,0.05
2020-08-22 00:08:46.406247,1914,2388,627,248,192.22,104.35,0.05
2020-08-22 00:08:56.391243,1927,2405,631,252,191.02,102.55,0.05
2020-08-22 00:09:06.376153,1940,2421,634,255,193.37,104.45,0.05
2020-08-22 00:09:16.361229,1954,2437,638,259,193.17,101.65,0.05
2020-08-22 00:09:26.330849,1966,2452,641,262,194.52,102.55,0.05
2020-08-22 00:09:36.315658,1977,2467,644,266,193.54,101.70,0.05
2020-08-22 00:09:46.285327,1990,2482,647,269,195.89,102.60,0.05
2020-08-22 00:09:56.270156,2000,2495,650,272,195.24,101.50,0.05
2020-08-22 00:10:06.255150,2009,2506,652,274,197.14,103.10,0.05
2020-08-22 00:10:16.224665,2018,2518,654,277,197.71,103.95,0.05
2020-08-22 00:10:26.209599,2027,2529,656,279,199.61,105.55,0.05
2020-08-22 00:10:36.194595,2031,2535,658,281,196.51,102.15,0.05
2020-08-22 00:10:46.179805,2037,2542,659,283,197.63,102.70,0.05
2020-08-22 00:10:56.164800,2043,2549,660,284,200.08,105.00,0.05
2020-08-22 00:11:06.134515,2045,2553,661,286,197.20,102.55,0.05
2020-08-22 00:11:16.119683,2050,2558,662,287,198.65,102.85,0.05
2020-08-22 00:11:26.104748,2051,2560,662,288,198.32,103.10,0.05
2020-08-22 00:11:36.089955,2051,2561,662,289,196.99,102.35,0.05
2020-08-22 00:11:46.074945,2052,2561,662,289,197.99,102.35,0.05
2020-08-22 00:11:56.059720,2050,2560,661,289,198.21,104.30,0.05
2020-08-22 00:12:06.029469,2047,2556,660,290,196.10,101.50,0.05
2020-08-22 00:12:16.014234,2044,2553,659,289,196.65,103.20,0.05
2020-08-22 00:12:25.999325,2039,2547,657,289,196.09,103.10,0.05
2020-08-22 00:12:35.968766,2034,2541,655,289,195.53,103.00,0.05
2020-08-22 00:12:45.953763,2028,2534,653,288,195.30,103.65,0.05
2020-08-22 00:12:55.938778,2020,2524,650,287,195.29,104.25,0.05
2020-08-22 00:13:05.908099,2011,2513,647,287,192.95,102.10,0.05
2020-08-22 00:13:15.893291,2004,2504,645,286,191.72,100.75,0.05
2020-08-22 00:13:25.878370,1995,2494,642,285,190.71,101.35,0.05
2020-08-22 00:13:35.848041,1986,2483,639,284,189.70,100.95,0.05
2020-08-22 00:13:45.848636,1979,2474,637,284,187.14,97.85,0.04
2020-08-22 00:13:55.818235,1972,2464,634,283,188.13,98.45,0.05
2020-08-22 00:14:05.803608,1963,2453,631,282,187.12,98.05,0.04
2020-08-22 00:14:15.788310,1954,2444,629,281,183.89,96.70,0.04
2020-08-22 00:14:25.773404,1947,2433,626,280,184.88,96.30,0.04
2020-08-22 00:14:35.758258,1939,2424,624,280,181.32,93.20,0.04
2020-08-22 00:14:45.727986,1930,2412,621,278,181.64,93.55,0.04
2020-08-22 00:14:55.712831,1924,2403,618,278,182.30,93.40,0.04
2020-08-22 00:15:05.698097,1915,2394,616,277,179.07,92.05,0.04
2020-08-22 00:15:15.683324,1908,2384,613,276,180.06,92.65,0.04
2020-08-22 00:15:25.668443,1900,2375,610,276,178.72,92.50,0.04
2020-08-22 00:15:35.653589,1895,2366,608,275,179.49,91.15,0.04
2020-08-22 00:15:45.638854,1886,2356,606,274,176.26,88.80,0.04
2020-08-22 00:15:55.623788,1877,2345,602,273,177.47,91.35,0.04
2020-08-22 00:16:05.608911,1868,2334,600,272,174.24,88.00,0.04
2020-08-22 00:16:15.578374,1857,2321,596,270,174.78,90.30,0.04
2020-08-22 00:16:25.563647,1847,2308,593,269,172.77,87.90,0.04
2020-08-22 00:16:35.548582,1837,2296,590,267,172.09,88.25,0.04
2020-08-22 00:16:45.533659,1825,2281,586,266,170.30,86.80,0.04
2020-08-22 00:16:55.518710,1813,2265,583,264,167.62,83.15,0.04
2020-08-22 00:17:05.488409,1802,2251,579,262,168.16,83.45,0.04
2020-08-22 00:17:15.473326,1790,2237,575,260,167.70,85.75,0.04
2020-08-22 00:17:25.458561,1778,2222,571,258,167.24,86.05,0.04
2020-08-22 00:17:35.443770,1766,2207,568,257,163.23,81.65,0.04
2020-08-22 00:17:45.428844,1758,2198,565,255,164.55,85.00,0.04
2020-08-22 00:17:55.398526,1748,2186,562,254,162.54,83.60,0.04
2020-08-22 00:18:05.383546,1739,2175,559,253,161.53,83.20,0.04
2020-08-22 00:18:15.368403,1733,2167,557,252,161.30,82.85,0.04
2020-08-22 00:18:25.353320,1727,2160,555,252,159.74,81.75,0.04
2020-08-22 00:18:35.322944,1721,2152,553,252,158.18,79.65,0.04
2020-08-22 00:18:45.308045,1716,2145,552,252,155.40,75.60,0.04
2020-08-22 00:18:55.293261,1712,2142,550,252,155.84,78.50,0.04
2020-08-22 00:19:05.278097,1709,2137,549,251,156.39,78.20,0.04
2020-08-22 00:19:15.247821,1707,2136,548,252,155.28,78.40,0.04
2020-08-22 00:19:25.232910,1706,2134,547,252,156.50,79.35,0.04
2020-08-22 00:19:35.217674,1704,2131,547,253,153.17,74.60,0.04
2020-08-22 00:19:45.187223,1705,2132,547,254,152.84,73.85,0.04
2020-08-22 00:19:55.172072,1708,2137,547,256,153.18,75.35,0.04
2020-08-22 00:20:05.156947,1715,2145,549,259,151.75,72.20,0.04
2020-08-22 00:20:15.126592,1724,2157,551,262,152.32,73.05,0.04
2020-08-22 00:20:25.111564,1731,2167,553,265,150.89,71.90,0.03
2020-08-22 00:20:35.096425,1735,2171,554,267,150.01,69.45,0.03
2020-08-22 00:20:45.066046,1734,2169,553,266,152.56,72.15,0.04
2020-08-22 00:20:55.051200,1731,2165,552,265,153.11,72.85,0.04
2020-08-22 00:21:05.035972,1728,2161,551,264,153.66,73.55,0.04
2020-08-22 00:21:15.020909,1728,2162,551,265,152.33,72.80,0.04
2020-08-22 00:21:25.005898,1730,2165,551,266,153.00,74.05,0.04
2020-08-22 00:21:34.990761,1732,2166,551,266,155.00,75.05,0.04
2020-08-22 00:21:44.960308,1734,2168,552,268,152.12,70.60,0.03
2020-08-22 00:21:54.945253,1736,2170,552,268,154.12,72.60,0.04
2020-08-22 00:22:04.930084,1737,2173,552,269,153.79,73.85,0.04
2020-08-22 00:22:14.915049,1738,2174,552,269,154.79,74.85,0.04
2020-08-22 00:22:24.884610,1737,2173,552,270,152.46,72.10,0.04
2020-08-22 00:22:34.869745,1735,2170,551,270,152.68,72.05,0.04
2020-08-22 00:22:44.854649,1730,2165,549,269,153.45,74.70,0.04
2020-08-22 00:22:54.839728,1725,2159,548,269,150.67,71.65,0.03
2020-08-22 00:23:04.824671,1719,2151,546,268,150.44,71.30,0.04
2020-08-22 00:23:14.809598,1712,2141,543,267,151.43,71.90,0.04
2020-08-22 00:23:24.779109,1703,2131,540,265,151.75,74.25,0.04
2020-08-22 00:23:34.763849,1695,2120,538,264,149.52,70.90,0.03
2020-08-22 00:23:44.748882,1686,2109,535,262,149.84,72.25,0.03
2020-08-22 00:23:54.718405,1675,2096,532,260,148.16,71.60,0.03
2020-08-22 00:24:04.703248,1664,2082,528,258,148.70,72.90,0.03
2020-08-22 00:24:14.688040,1652,2068,525,256,146.02,71.25,0.03
2020-08-22 00:24:24.657717,1639,2051,520,253,148.11,74.25,0.03
2020-08-22 00:24:34.642397,1624,2033,516,251,144.65,71.55,0.03
2020-08-22 00:24:44.627443,1611,2016,512,248,144.52,71.60,0.03
2020-08-22 00:24:54.612143,1597,1998,508,245,143.39,70.65,0.03
2020-08-22 00:25:04.581650,1583,1980,503,243,143.15,70.90,0.03
2020-08-22 00:25:14.566743,1568,1961,498,240,143.24,71.90,0.03
2020-08-22 00:25:24.551686,1554,1945,494,237,142.11,72.95,0.03
