dateTime,sampleTimeSeconds,LPOPmMid,LPOPm10,ratioPmMid,ratioPm10,concentrationPmMid,concentrationPm2_5,concentrationPm10
2020-08-19 00:00:14.046500,30,3195248,5996092,10.65,19.99,6437.03,11221.60,17658.63
2020-08-19 00:00:44.068342,30,2240476,5380668,7.47,17.94,4130.36,10320.89,14451.25
2020-08-19 00:01:14.089954,30,2517852,5544184,8.39,18.48,4747.53,10508.09,15255.63
2020-08-19 00:01:44.111915,30,2153116,4888700,7.18,16.30,3943.61,8281.70,12225.30
2020-08-19 00:02:14.133615,30,2979356,6189268,9.93,20.63,5867.50,12903.10,18770.60
2020-08-19 00:02:44.155254,30,2584636,5122596,8.62,17.08,4902.04,8346.24,13248.28
2020-08-19 00:03:14.177143,30,1931604,5220916,6.44,17.40,3484.82,10212.37,13697.19
2020-08-19 00:03:44.198930,30,1951380,4603500,6.50,15.35,3524.96,7534.87,11059.84
2020-08-19 00:04:14.220759,30,2831672,5744524,9.44,19.15,5495.33,10792.23,16287.56
2020-08-19 00:04:44.242616,30,2522628,5242692,8.41,17.48,4758.50,9039.66,13798.17
2020-08-19 00:05:14.264218,30,2065616,5468044,6.89,18.23,3759.94,11116.98,14876.91
2020-08-19 00:05:44.286187,30,2155072,4950016,7.18,16.50,3947.75,8539.72,12487.47
2020-08-19 00:06:14.308019,30,3289804,6099692,10.97,20.33,6696.55,11551.91,18248.46
2020-08-19 00:06:44.329732,30,2536064,5591452,8.45,18.64,4789.43,10705.00,15494.43
2020-08-19 00:07:14.351584,30,2554876,5196324,8.52,17.32,4832.89,8750.95,13583.84
2020-08-19 00:07:44.373555,30,2038560,5085332,6.80,16.95,3703.80,9377.30,13081.10
2020-08-19 00:08:14.395252,30,2966076,6109208,9.89,20.36,5833.47,12469.92,18303.38
2020-08-19 00:08:44.432537,30,2795876,5871708,9.32,19.57,5407.15,11562.89,16970.04
2020-08-19 00:09:14.454317,30,2499232,5887504,8.33,19.63,4704.88,12351.45,17056.33
2020-08-19 00:09:44.476142,30,1862488,5089896,6.21,16.97,3345.68,9755.81,13101.49
2020-08-19 00:10:14.498004,30,3040000,6039744,10.13,20.13,6024.34,11880.99,17905.33
2020-08-19 00:10:44.519731,30,2693856,5903376,8.98,19.68,5160.01,11983.36,17143.36
2020-08-19 00:11:14.541491,30,1927860,5228448,6.43,17.43,3477.23,10254.82,13732.05
2020-08-19 00:11:44.563209,30,3026564,5968540,10.09,19.90,5989.38,11514.90,17504.29
2020-08-19 00:12:14.584971,30,2720704,5507596,9.07,18.36,5224.46,9848.28,15072.73
2020-08-19 00:12:44.606809,30,2692988,5447268,8.98,18.16,5157.93,9616.91,14774.84
2020-08-19 00:13:14.628573,30,2194804,5532968,7.32,18.44,4032.30,11167.08,15199.37
2020-08-19 00:13:44.650675,30,3329792,6067568,11.10,20.23,6808.23,11255.74,18063.97
2020-08-19 00:14:14.672307,30,2864888,5864376,9.55,19.55,5577.85,11352.26,16930.12
2020-08-19 00:14:44.694243,30,2111452,5946004,7.04,19.82,3855.74,13523.06,17378.80
2020-08-19 00:15:14.715940,30,3059980,6288508,10.20,20.96,6076.54,13285.91,19362.46
2020-08-19 00:15:44.737779,30,6452028,9803304,21.51,32.68,20369.00,30949.92,51318.92
2020-08-19 00:16:14.759689,30,4160620,6977996,13.87,23.26,9415.75,14466.86,23882.61
2020-08-19 00:16:44.796916,30,2827264,5623352,9.42,18.74,5484.43,10172.79,15657.22
2020-08-19 00:17:14.818695,30,4867976,8111328,16.23,27.04,12137.64,20886.91,33024.55
2020-08-19 00:17:44.840476,30,6900160,9947284,23.00,33.16,23335.23,29829.33,53164.56
2020-08-19 00:18:14.862437,30,5294152,8882140,17.65,29.61,14039.05,26574.64,40613.69
2020-08-19 00:18:44.884073,30,3791896,6716256,12.64,22.39,8187.40,13892.87,22080.28
2020-08-19 00:19:14.906014,30,6500376,9664000,21.67,32.21,20674.21,28904.58,49578.79
2020-08-19 00:19:44.943516,30,11692780,14127468,38.98,47.09,79625.56,51309.62,130935.18
2020-08-19 00:20:14.965298,30,7868912,10949928,26.23,36.50,30876.24,36530.56,67406.80
2020-08-19 00:20:44.987045,30,3159368,5943996,10.53,19.81,6340.19,11027.46,17367.66
2020-08-19 00:21:15.008917,30,6674792,9293572,22.25,30.98,21804.66,23360.22,45164.88
2020-08-19 00:21:45.046141,30,9215188,12629204,30.72,42.10,44269.83,52951.86,97221.70
2020-08-19 00:22:15.067839,30,6288824,9406600,20.96,31.36,19364.36,27114.95,46479.31
2020-08-19 00:22:45.089832,30,6470432,9410628,21.57,31.37,20484.77,26041.93,46526.70
2020-08-19 00:23:15.111683,30,7998748,11235276,26.66,37.45,32013.19,39912.45,71925.65
2020-08-19 00:23:45.133657,30,11145084,14870088,37.15,49.57,70474.20,79923.20,150397.41
2020-08-19 00:24:15.170749,30,8191796,11230684,27.31,37.44,33762.17,38089.07,71851.24
2020-08-19 00:24:45.192597,30,6488484,9495920,21.63,31.65,20598.82,26939.19,47538.01
2020-08-19 00:25:15.214650,30,7887964,11384656,26.29,37.95,31041.10,43336.28,74377.38
2020-08-19 00:25:45.236681,30,10650956,15307140,35.50,51.02,62898.48,99861.91,162760.39
2020-08-19 00:26:15.273911,30,9532972,13047268,31.78,43.49,47982.45,57933.11,105915.55
2020-08-19 00:26:45.295896,30,8207164,11437476,27.36,38.12,33904.45,41354.21,75258.66
2020-08-19 00:27:15.317660,30,11335888,15286624,37.79,50.96,73570.34,88594.13,162164.47
2020-08-19 00:27:45.339670,30,8344064,11645380,27.81,38.82,35192.01,43609.26,78801.27
2020-08-19 00:28:15.377006,30,8672948,12446580,28.91,41.49,38436.17,55153.45,93589.62
2020-08-19 00:28:45.398683,30,3871716,6665268,12.91,22.22,8443.17,13298.54,21741.72
2020-08-19 00:29:15.420483,30,7977064,11316344,26.59,37.72,31821.14,41427.67,73248.81
2020-08-19 00:29:45.442512,30,10901112,14483216,36.34,48.28,66654.99,73365.48,140020.47
2020-08-19 00:30:15.464518,30,7851640,10930828,26.17,36.44,30727.33,36384.53,67111.87
2020-08-19 00:30:45.501798,30,8224152,11710376,27.41,39.03,34062.25,45870.93,79933.17
2020-08-19 00:31:15.523724,30,10989604,14086732,36.63,46.96,68022.35,61899.98,129922.34
2020-08-19 00:31:45.545544,30,11186736,14507656,37.29,48.36,71141.83,69518.73,140660.56
2020-08-19 00:32:15.582761,30,7598488,10905972,25.33,36.35,28607.08,38122.48,66729.56
2020-08-19 00:32:45.604661,30,6164820,10117628,20.55,33.73,18626.96,36784.13,55411.09
2020-08-19 00:33:15.626685,30,10391608,14142812,34.64,47.14,59170.29,72148.02,131318.30
2020-08-19 00:33:45.664058,30,11016536,14401432,36.72,48.00,68442.48,69451.01,137893.48
2020-08-19 00:34:15.685987,30,9505668,12825092,31.69,42.75,47654.64,53574.11,101228.75
2020-08-19 00:34:45.707927,30,11180772,14246460,37.27,47.49,71045.95,62880.19,133926.14
2020-08-19 00:35:15.745231,30,10728164,14106076,35.76,47.02,64040.86,66361.80,130402.66
2020-08-19 00:35:45.767208,30,11002164,14176520,36.67,47.26,68218.04,63944.27,132162.31
2020-08-19 00:36:15.788925,30,8230024,12683140,27.43,42.28,34116.91,64196.52,98313.42
2020-08-19 00:36:45.811017,30,10606856,13600176,35.36,45.33,62252.67,55997.35,118250.02
2020-08-19 00:37:15.848268,30,10236816,14528496,34.12,48.43,57024.11,84183.86,141207.97
2020-08-19 00:37:45.870226,30,10878536,14678360,36.26,48.93,66309.38,78879.99,145189.38
2020-08-19 00:38:15.892201,30,9063260,12732848,30.21,42.44,42572.71,56754.67,99327.38
2020-08-19 00:38:45.929367,30,8655548,11899016,28.85,39.66,38259.11,45025.91,83285.02
2020-08-19 00:39:15.951279,30,10740404,14954908,35.80,49.85,64223.36,88519.73,152743.09
2020-08-19 00:39:45.973401,30,10973672,14395396,36.58,47.98,67774.66,69962.97,137737.63
2020-08-19 00:40:16.010504,30,8737576,12289468,29.13,40.96,39099.29,51444.64,90543.93
2020-08-19 00:40:46.032389,30,9726060,12972144,32.42,43.24,50348.50,53965.35,104313.85
2020-08-19 00:41:16.054403,30,10909160,14405840,36.36,48.02,66778.50,71229.13,138007.63
2020-08-19 00:41:46.091671,30,10861804,14372452,36.21,47.91,66054.13,71091.33,137145.45
2020-08-19 00:42:16.113365,30,8126204,11895708,27.09,39.65,33160.00,50065.38,83225.38
2020-08-19 00:42:46.135458,30,10044636,13517736,33.48,45.06,54440.07,61909.12,116349.19
2020-08-19 00:43:16.157251,30,10667740,14129904,35.56,47.10,63145.52,67850.53,130996.05
2020-08-19 00:43:46.194542,30,10871112,14917316,36.24,49.72,66196.07,85504.32,151700.39
2020-08-19 00:44:16.216397,30,7305804,11659808,24.35,38.87,26297.08,52754.48,79051.56
2020-08-19 00:44:46.238244,30,10104120,13315684,33.68,44.39,55230.41,56552.00,111782.41
2020-08-19 00:45:16.275542,30,10184872,14693216,33.95,48.98,56316.93,89271.27,145588.20
2020-08-19 00:45:46.297585,30,11211856,14797128,37.37,49.32,71546.63,76853.59,148400.22
2020-08-19 00:46:16.319478,30,6787164,10661288,22.62,35.54,22557.82,40492.70,63050.52
2020-08-19 00:46:46.341333,30,9472012,13301944,31.57,44.34,47252.90,64223.64,111476.54
2020-08-19 00:47:16.378779,30,10828128,14144828,36.09,47.15,65542.48,65826.13,131368.61
2020-08-19 00:47:46.400708,30,10877128,14806176,36.26,49.35,66287.88,82358.96,148646.84
2020-08-19 00:48:16.422673,30,7766368,12148092,25.89,40.49,30000.20,57864.80,87865.00
2020-08-19 00:48:46.444356,30,8916860,12268608,29.72,40.90,40983.92,49161.07,90144.99
2020-08-19 00:49:16.481684,30,10341072,14393764,34.47,47.98,58463.16,79232.19,137695.34
2020-08-19 00:49:46.503694,30,11002736,14948028,36.68,49.83,68227.00,84324.94,152551.94
2020-08-19 00:50:16.525583,30,7559444,10504444,25.20,35.01,28290.28,32481.50,60771.77
2020-08-19 00:50:46.547434,30,9149076,13050816,30.50,43.50,43525.21,62466.55,105991.77
2020-08-19 00:51:16.584755,30,10173184,14303164,33.91,47.68,56158.71,79209.63,135368.33
2020-08-19 00:51:46.606720,30,10964324,14255176,36.55,47.52,67629.70,66517.45,134147.14
2020-08-19 00:52:16.628396,30,7452676,11225988,24.84,37.42,27437.66,44337.57,71775.23
2020-08-19 00:52:46.665567,30,8939952,12938664,29.80,43.13,41231.51,62374.13,103605.64
2020-08-19 00:53:16.687580,30,9953892,13327376,33.18,44.42,53250.46,58792.72,112043.18
2020-08-19 00:53:46.709418,30,9246848,12093412,30.82,40.31,44629.75,42214.62,86844.38
2020-08-19 00:54:16.731214,30,6530484,9503664,21.77,31.68,20866.04,26764.62,47630.67
2020-08-19 00:54:46.752988,30,8788208,13547072,29.29,45.16,39624.77,77398.33,117023.09
2020-08-19 00:55:16.790144,30,10481588,14463032,34.94,48.21,60444.82,79048.66,139493.48
2020-08-19 00:55:46.812215,30,11430436,14274812,38.10,47.58,75140.74,59505.04,134645.78
